0,32,-780,16644,3 
1,-56,-772,17028,3 
2,-216,-676,17096,3 
3,196,-352,17400,3 
4,160,-492,17332,3 
5,176,-116,17044,3 
6,208,-212,16968,3 
7,4,-380,17140,3 
8,16,-440,16772,3 
9,-104,-508,16892,3 
10,-40,-88,16868,3 
11,-32,228,17104,3 
12,4,96,17100,3 
13,48,48,17340,3 
14,-56,-168,17332,3 
15,-176,-176,17176,3 
16,-16,-104,17368,3 
17,20,-176,17348,3 
18,8,-416,17512,3 
19,-188,-444,17584,3 
20,68,-636,17580,3 
21,48,-668,17636,3 
22,24,-444,17860,3 
23,132,-392,17840,3 
24,84,-296,17732,3 
25,72,-128,17900,3 
26,48,-112,17848,3 
27,88,192,17916,3 
28,-180,-272,17556,3 
29,-92,-200,17652,3 
30,8,-388,17416,3 
31,-216,-392,17160,3 
32,-52,-652,17084,3 
33,40,-492,16932,3 
34,-28,-532,16752,3 
35,136,-472,16848,3 
36,-108,-560,16852,3 
37,152,-216,16732,3 
38,-244,-236,16820,3 
39,-12,-84,16868,3 
40,0,-100,17096,3 
41,-72,-72,16904,3 
42,-100,-168,17036,3 
43,-244,-256,16924,3 
44,192,-124,17260,3 
45,-40,-224,17368,3 
46,248,-132,17284,3 
47,-120,-344,17344,3 
48,-96,-320,17288,3 
49,-240,-472,17368,3 
50,-244,-392,17028,3 
51,-132,-480,17388,3 
52,-4,-56,17188,3 
53,-132,-40,17444,3 
54,-4,16,17512,3 
55,-108,108,17220,3 
56,-208,-176,17212,3 
57,-104,-176,17172,3 
58,-212,-52,16936,3 
59,-24,-128,17180,3 
60,-44,-96,17060,3 
61,-184,-80,17404,3 
62,-68,144,16908,3 
63,-192,156,17116,3 
64,-104,168,16920,3 
65,-136,-8,16748,3 
66,-220,112,16804,3 
67,-80,-232,16924,3 
68,-280,76,16928,3 
69,-476,-180,17152,3 
70,-180,-76,17500,3 
71,-100,-40,17684,3 
72,-16,-208,17440,3 
73,-32,-168,17660,3 
74,-136,-248,17824,3 
75,-228,-100,17480,3 
76,-104,-244,17444,3 
77,-240,160,17076,3 
78,-104,24,17308,3 
79,-244,104,17144,3 
80,-56,0,16640,3 
81,-176,-32,16800,3 
82,-140,-108,16736,3 
83,-248,-212,16824,3 
84,-200,-16,16484,3 
85,-128,24,16700,3 
86,-44,28,17080,3 
87,-176,104,17060,3 
88,-136,168,17396,3 
89,-92,80,17304,3 
90,-304,108,17268,3 
91,-20,-128,17208,3 
92,-164,84,17432,3 
93,-96,8,17476,3 
94,-452,188,17540,3 
95,-284,192,17408,3 
96,-264,4,17556,3 
97,-188,16,17288,3 
98,-60,-180,17128,3 
99,-132,-72,16952,3 
100,-164,-96,17060,3 
101,-448,-180,17036,3 
102,-180,-140,17068,3 
103,-96,132,17336,3 
104,-88,408,17156,3 
105,-160,640,17044,3 
106,-200,492,16988,3 
107,-92,396,16880,3 
108,-240,388,16892,3 
109,-116,640,16524,3 
110,-320,756,16428,3 
111,-384,716,16616,3 
112,-384,504,16216,3 
113,-8,332,16396,3 
114,-176,184,16612,3 
115,-196,-28,16456,3 
116,-164,12,16428,3 
117,-32,28,16636,3 
118,-108,224,16788,3 
119,-176,-16,16964,3 
120,-244,-4,17184,3 
121,-276,-244,17312,3 
122,-268,44,17456,3 
123,-232,104,17604,3 
124,-220,736,17756,3 
125,-272,584,17744,3 
126,-196,688,17756,3 
127,-212,424,17820,3 
128,-356,300,17888,3 
129,-284,488,18044,3 
130,-260,0,18108,3 
131,-136,468,18228,3 
132,-148,492,18556,3 
133,-64,572,18328,3 
134,-112,776,18408,3 
135,-164,844,18056,3 
136,-96,732,17708,3 
137,-236,664,17660,3 
138,-332,740,17276,3 
139,-152,340,17016,3 
140,-52,192,16984,3 
141,-348,-40,16924,3 
142,-212,-72,16992,3 
143,-200,-84,17112,3 
144,-452,24,17044,3 
145,-32,124,17276,3 
146,-96,480,17236,3 
147,-200,704,17352,3 
148,-216,600,17376,3 
149,-4,632,17280,3 
150,-392,760,17132,3 
151,-244,348,17080,3 
152,-356,464,16688,3 
153,-508,400,16856,3 
154,-312,356,16884,3 
155,-304,416,16976,3 
156,-488,404,17000,3 
157,-176,412,16884,3 
158,-204,412,16728,3 
159,-36,500,16672,3 
160,-280,220,16788,3 
161,-68,76,16924,3 
162,-324,184,16752,3 
163,-308,160,16708,3 
164,-260,368,16724,3 
165,-488,284,16904,3 
166,-268,476,16716,3 
167,-496,472,16776,3 
168,-444,448,17084,3 
169,-268,728,16924,3 
170,-328,552,16980,3 
171,-280,312,16956,3 
172,-196,468,17068,3 
173,-204,552,16876,3 
174,-96,492,17048,3 
175,-340,724,16956,3 
176,-300,600,17064,3 
177,-464,532,17044,3 
178,-332,952,16996,3 
179,-436,876,17356,3 
180,-308,832,17172,3 
181,-300,680,17216,3 
182,-456,476,17596,3 
183,-400,424,17348,3 
184,-248,56,17564,3 
185,-220,-44,17688,3 
186,-256,-56,17896,3 
187,-224,76,18072,3 
188,-144,244,18152,3 
189,-148,284,17900,3 
190,-156,328,17964,3 
191,-132,360,17760,3 
192,-124,304,17444,3 
193,-264,332,17308,3 
194,-260,432,17080,3 
195,-312,492,16972,3 
196,-376,368,16916,3 
197,-144,184,17376,3 
198,-84,68,17116,3 
199,-352,-8,17084,3 
200,-496,-32,16912,3 
201,-200,-152,17128,3 
202,-236,-180,17100,3 
203,-8,-44,17104,3 
204,-444,196,17104,3 
205,-316,96,16956,3 
206,-236,120,16928,3 
207,-416,-76,16628,3 
208,-336,-136,16876,3 
209,-208,32,16536,3 
210,-256,108,16632,3 
211,-184,120,16844,3 
212,-188,156,16996,3 
213,-212,128,17040,3 
214,-196,132,17368,3 
215,-472,8,17312,3 
216,-84,-124,17208,3 
217,-376,-468,16992,3 
218,-28,-800,17056,3 
219,-256,-1060,17148,3 
220,-188,-1260,16916,3 
221,-324,-780,16920,3 
222,-464,-448,17136,3 
223,-104,-56,17512,3 
224,-84,204,17460,3 
225,-28,404,17688,3 
226,-232,384,17848,3 
227,-360,460,17540,3 
228,-364,468,17620,3 
229,-332,264,17700,3 
230,-68,56,17804,3 
231,-184,-96,17848,3 
232,-108,-480,17768,3 
233,-156,-560,17648,3 
234,-84,-484,17600,3 
235,-188,-412,17564,3 
236,-64,-396,17556,3 
237,-240,-704,17408,3 
238,24,-740,17280,3 
239,-56,-640,17088,3 
240,-24,-1048,16816,3 
241,-40,-1272,17080,3 
242,-120,-1408,16740,3 
243,-80,-1396,16808,3 
244,-52,-1304,16984,3 
245,-228,-1332,17076,3 
246,-156,-1568,16844,3 
247,-132,-2168,16588,3 
248,-56,-2040,16740,3 
249,-232,-2080,16784,3 
